DRUG_B_NAME,DRUG_B_ID,GT,DDI_TYPE
Bromodiphenhydramine,DB01237,NO,NONE
Quinapril,DB00881,NO,NONE
Degarelix,DB06699,NO,NONE
Osimertinib,DB09330,YES,MAJOR
Acetohydroxamic acid,DB00551,NO,NONE
Filgrastim,DB00099,NO,NONE
Evening primrose oil,DB11358,NO,NONE
Pomalidomide,DB08910,YES,MAJOR
Etrasimod,DB14766,YES,MODERATE
Ergocalciferol,DB00153,NO,NONE
Capecitabine,DB01101,YES,MAJOR
Gemfibrozil,DB01241,YES,MAJOR
Obeticholic acid,DB05990,NO,NONE
Mitotane,DB00648,YES,MAJOR
Desmopressin,DB00035,NO,NONE
Brimonidine,DB00484,NO,NONE
Quinidine,DB00908,YES,MAJOR
Isoprenaline,DB01064,NO,NONE
Ixazomib,DB09570,NO,NONE
Crizotinib,DB08865,YES,MAJOR
Levamisole,DB00848,NO,NONE
Doxorubicin,DB00997,YES,MODERATE
Cefiderocol,DB14879,NO,NONE
Glycyrrhizic acid,DB13751,YES,MODERATE
Lisinopril,DB00722,NO,NONE
Erythromycin,DB00199,YES,MAJOR
Theophylline,DB00277,YES,MAJOR
Atorvastatin,DB01076,YES,MODERATE
Cinacalcet,DB01012,YES,MAJOR
Candesartan cilexetil,DB00796,YES,MAJOR
Ursodeoxycholic acid,DB01586,YES,MODERATE
Salmeterol,DB00938,YES,MAJOR
Chromous sulfate,DB14530,NO,NONE
Sorafenib,DB00398,YES,MAJOR
Peginesatide,DB08894,NO,NONE
Zoledronic acid,DB00399,NO,NONE
Procainamide,DB01035,YES,MAJOR
Romosozumab,DB11866,NO,NONE
Dactinomycin,DB00970,YES,MAJOR
Nepafenac,DB06802,NO,NONE
Levamlodipine,DB09237,YES,MODERATE
Butamben,DB11148,NO,NONE
Voriconazole,DB00582,YES,MAJOR
Brexanolone,DB11859,NO,NONE
Perampanel,DB08883,YES,MODERATE
Clopidogrel,DB00758,YES,MAJOR
Ivermectin,DB00602,YES,MODERATE
Pyridostigmine,DB00545,NO,NONE
Metaraminol,DB00610,NO,NONE
Rifampin,DB01045,YES,MAJOR
Cabergoline,DB00248,YES,MAJOR
Acitretin,DB00459,NO,NONE
Ruxolitinib,DB08877,YES,MAJOR
Guanfacine,DB01018,NO,NONE
Givinostat,DB12645,NO,NONE
Adagrasib,DB15568,YES,MAJOR
Glycopyrronium,DB00986,NO,NONE
D-alpha-Tocopherol acetate,DB14002,NO,NONE
Lusutrombopag,DB13125,YES,MODERATE
Propiverine,DB12278,NO,NONE
Erenumab,DB14039,NO,NONE
Misoprostol,DB00929,NO,NONE
Vadadustat,DB12255,YES,MODERATE
Lonafarnib,DB06448,YES,MAJOR
Vancomycin,DB00512,NO,NONE
Difluocortolone,DB09095,YES,MODERATE
Cyclosporine,DB00091,YES,MAJOR
Cenobamate,DB06119,YES,MODERATE
Rimonabant,DB06155,NO,NONE
Bemiparin,DB09258,NO,NONE
Drotaverine,DB06751,NO,NONE
Cabozantinib,DB08875,YES,MAJOR
Omacetaxine mepesuccinate,DB04865,NO,NONE
Zolmitriptan,DB00315,NO,NONE
Bilastine,DB11591,NO,NONE
Tocilizumab,DB06273,YES,MODERATE
Coccidioides immitis spherule,DB11294,NO,NONE
Risedronic acid,DB00884,YES,MODERATE
Diosmin,DB08995,YES,MODERATE
Revefenacin,DB11855,YES,MAJOR
Posaconazole,DB01263,YES,MAJOR
Amoxapine,DB00543,YES,MAJOR
Docetaxel,DB01248,YES,MAJOR
Axitinib,DB06626,YES,MAJOR
Tamoxifen,DB00675,YES,MAJOR
Clonidine,DB00575,YES,MAJOR
Diazoxide,DB01119,NO,NONE
Atosiban,DB09059,NO,NONE
Bremelanotide,DB11653,NO,NONE
Urokinase,DB00013,NO,NONE
Balsalazide,DB01014,NO,NONE
Seletracetam,DB05885,NO,NONE
Turoctocog alfa pegol,DB14738,NO,NONE
Segesterone acetate,DB14583,NO,NONE
Lixisenatide,DB09265,NO,NONE
Hydroxyurea,DB01005,NO,NONE
Tetracycline,DB00759,NO,NONE
Etretinate,DB00926,NO,NONE
Pinaverium,DB09090,NO,NONE
Lumasiran,DB15935,NO,NONE
Durvalumab,DB11714,NO,NONE
Tipranavir,DB00932,YES,MAJOR
Copanlisib,DB12483,YES,MAJOR
Ustekinumab,DB05679,NO,NONE
Deflazacort,DB11921,NO,NONE
Anacaulase,DB17449,NO,NONE
Mifepristone,DB00834,YES,MAJOR
Dapsone,DB00250,YES,MODERATE
Abemaciclib,DB12001,YES,MAJOR
Dabrafenib,DB08912,YES,MODERATE
Fluticasone propionate,DB00588,YES,MAJOR
Isocarboxazid,DB01247,NO,NONE
Chloramphenicol,DB00446,YES,MODERATE
Avacincaptad pegol,DB15165,NO,NONE
Lamotrigine,DB00555,YES,MODERATE
Daprodustat,DB11682,YES,MODERATE
Bimatoprost,DB00905,NO,NONE
Mercaptopurine,DB01033,NO,NONE
Avapritinib,DB15233,YES,MODERATE
Bromotheophylline,DB14018,NO,NONE
Itraconazole,DB01167,YES,MAJOR
Betibeglogene autotemcel,DB16900,NO,NONE
Triclabendazole,DB12245,YES,MODERATE
Caffeine,DB00201,NO,NONE
Raloxifene,DB00481,YES,MODERATE
Technetium Tc-99m succimer,DB09436,NO,NONE
Meclofenamic acid,DB00939,NO,NONE
Naratriptan,DB00952,NO,NONE
Efbemalenograstim alfa,DB18704,NO,NONE
Daptomycin,DB00080,YES,MODERATE
Dacomitinib,DB11963,YES,MAJOR
Verapamil,DB00661,YES,MODERATE
Fidaxomicin,DB08874,NO,NONE
Levodopa,DB01235,NO,NONE
Carboxymethylcellulose,DB11059,NO,NONE
Ubrogepant,DB15328,YES,MODERATE
Desogestrel,DB00304,YES,MODERATE
Dabigatran etexilate,DB06695,YES,MODERATE
Trandolapril,DB00519,NO,NONE
Fenoprofen,DB00573,NO,NONE
Brigatinib,DB12267,YES,MAJOR
Pergolide,DB01186,NO,NONE
Thioridazine,DB00679,YES,MAJOR
Pentostatin,DB00552,NO,NONE
Technetium Tc-99m oxidronate,DB09139,NO,NONE
Diamorphine,DB01452,NO,NONE
Ziconotide,DB06283,NO,NONE
Benzonatate,DB00868,NO,NONE
Chromium,DB11136,NO,NONE
Sofosbuvir,DB08934,YES,MODERATE
Primidone,DB00794,YES,MAJOR
Sotalol,DB00489,YES,MAJOR
Lovastatin,DB00227,YES,MODERATE
Indomethacin,DB00328,YES,MODERATE
Goserelin,DB00014,NO,NONE
Pilocarpine,DB01085,NO,NONE
Paclitaxel,DB01229,YES,MAJOR
Dihydroergotamine,DB00320,NO,NONE
Bortezomib,DB00188,YES,MAJOR
Latanoprost,DB00654,NO,NONE
Esketamine,DB11823,YES,MODERATE
Milnacipran,DB04896,YES,MODERATE
Iopodic acid,DB09333,NO,NONE
Xylometazoline,DB06694,NO,NONE
Methimazole,DB00763,YES,MAJOR
